Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What to do if referral/consultation for evaluation and treatment is indicated?,What,374,"refer/consult with appropriate interdisciplinary treatments. Then after referral/consultation with appropriate interdisciplinary treatments, see if the patient is willing to engage in a comprehensive pain care plan.",Algorithm,0,0.3448275862068966,"['What', 'to', 'do', 'if', 'referral', '/', 'consultation', 'for', 'evaluation', 'and', 'treatment', 'is', 'indicated', '?']","['refer', '/', 'consult', 'with', 'appropriate', 'interdisciplinary', 'treatments', '.', 'Then', 'after', 'referral', '/', 'consultation', 'with', 'appropriate', 'interdisciplinary', 'treatments', ',', 'see', 'if', 'the', 'patient', 'is', 'willing', 'to', 'engage', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', '.']",14,33
What to do if a patient is with chronic pain and has not been on daily OT for pain for more than 3 months?,What,375,"obtain biopsychosocial assessment. Then educate or re-educate on non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment. Then implement and optimize non-opioid treatments for chronic pain (e.g., physical, psychological, and complementary and integrative treatments).",Algorithm,0,0.13333333333333333,"['What', 'to', 'do', 'if', 'a', 'patient', 'is', 'with', 'chronic', 'pain', 'and', 'has', 'not', 'been', 'on', 'daily', 'OT', 'for', 'pain', 'for', 'more', 'than', '3', 'months', '?']","['obtain', 'biopsychosocial', 'assessment', '.', 'Then', 'educate', 'or', 're', '-', 'educate', 'on', 'non', '-', 'opioid', 'management', ',', 'self', '-', 'management', 'to', 'improve', 'function', 'and', 'quality', 'of', 'life', ',', 'realistic', 'expectations', 'and', 'limitations', 'of', 'medical', 'treatment', '.', 'Then', 'implement', 'and', 'optimize', 'non', '-', 'opioid', 'treatments', 'for', 'chronic', 'pain', '(', 'e.g.', ',', 'physical', ',', 'psychological', ',', 'and', 'complementary', 'and', 'integrative', 'treatments', ')', '.']",25,60
What to do if adding OT to comprehensive pain therapy is not indicated at this time?,What,376,exit algorithm; manage with non-opioid modalities,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'adding', 'OT', 'to', 'comprehensive', 'pain', 'therapy', 'is', 'not', 'indicated', 'at', 'this', 'time', '?']","['exit', 'algorithm', ';', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",17,9
What therapies are preferred for chronic pain?,What,377,Non-pharmacologic and non-opioid pharmacologic,Algorithm,0,0.888888888888889,"['What', 'therapies', 'are', 'preferred', 'for', 'chronic', 'pain', '?']","['Non', '-', 'pharmacologic', 'and', 'non', '-', 'opioid', 'pharmacologic']",8,8
What to do if the patient is prepared to accept responsibilities?,What,378,"discuss and complete written informed consent with patient and family, determine and document treatment plan, and proceed to module B",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'prepared', 'to', 'accept', 'responsibilities', '?']","['discuss', 'and', 'complete', 'written', 'informed', 'consent', 'with', 'patient', 'and', 'family', ',', 'determine', 'and', 'document', 'treatment', 'plan', ',', 'and', 'proceed', 'to', 'module', 'B']",12,22
Which topics are covered in the CDC Guideline for Prescribing Opioids for Chronic Pain?,Which,379,"initiation and continuation of OT, management of  OT, and risk assessment and use of risk mitigation strategies",Background,1,1.0,"['Which', 'topics', 'are', 'covered', 'in', 'the', 'CDC', 'Guideline', 'for', 'Prescribing', 'Opioids', 'for', 'Chronic', 'Pain', '?']","['initiation', 'and', 'continuation', 'of', 'OT', ',', 'management', 'of', ' ', 'OT', ',', 'and', 'risk', 'assessment', 'and', 'use', 'of', 'risk', 'mitigation', 'strategies']",15,20
When did the CDC released its Guideline for Prescribing Opioids for Chronic Pain? ,When,380,"March 15, 2016",Background,1,1.0,"['When', 'did', 'the', 'CDC', 'released', 'its', 'Guideline', 'for', 'Prescribing', 'Opioids', 'for', 'Chronic', 'Pain', '?']","['March', '15', ',', '2016']",14,4
Which system is used by the CDC guideline to assign a  grade for the strength for each recommendation? ,Which,381,GRADE system,Background,0,0.6666666666666666,"['Which', 'system', 'is', 'used', 'by', 'the', 'CDC', 'guideline', 'to', 'assign', 'a', ' ', 'grade', 'for', 'the', 'strength', 'for', 'each', 'recommendation', '?']","['GRADE', 'system']",20,2
Who are the targeted individuals for the CDC Guideline for Prescribing Opioids for Chronic Pain?,Who,382,primary care physicians,Background,1,1.0,"['Who', 'are', 'the', 'targeted', 'individuals', 'for', 'the', 'CDC', 'Guideline', 'for', 'Prescribing', 'Opioids', 'for', 'Chronic', 'Pain', '?']","['primary', 'care', 'physicians']",16,3
What does the GRADE system include?,What,383,"assessment of the quality of the evidence and consideration of the balance of desirable and undesirable outcomes, patient values and preferences,  and other considerations (e.g., resource use, equity) during recommendation development",Background,0,0.0689655172413793,"['What', 'does', 'the', 'GRADE', 'system', 'include', '?']","['assessment', 'of', 'the', 'quality', 'of', 'the', 'evidence', 'and', 'consideration', 'of', 'the', 'balance', 'of', 'desirable', 'and', 'undesirable', 'outcomes', ',', 'patient', 'values', 'and', 'preferences', ',', ' ', 'and', 'other', 'considerations', '(', 'e.g.', ',', 'resource', 'use', ',', 'equity', ')', 'during', 'recommendation', 'development']",7,38
What is the aim of the CDC Guideline for Prescribing Opioids for Chronic Pain?,What,384,"assist primary care providers in offering safe and effective treatment for patients with chronic pain in the outpatient setting (not including active cancer treatment, palliative care, or end-of-life care). It is also aimed at improving communication between providers and patients and decreasing adverse outcomes associated with LOT.",Background,0,0.0,"['What', 'is', 'the', 'aim', 'of', 'the', 'CDC', 'Guideline', 'for', 'Prescribing', 'Opioids', 'for', 'Chronic', 'Pain', '?']","['assist', 'primary', 'care', 'providers', 'in', 'offering', 'safe', 'and', 'effective', 'treatment', 'for', 'patients', 'with', 'chronic', 'pain', 'in', 'the', 'outpatient', 'setting', '(', 'not', 'including', 'active', 'cancer', 'treatment', ',', 'palliative', 'care', ',', 'or', 'end', '-', 'of', '-', 'life', 'care', ')', '.', 'It', 'is', 'also', 'aimed', 'at', 'improving', 'communication', 'between', 'providers', 'and', 'patients', 'and', 'decreasing', 'adverse', 'outcomes', 'associated', 'with', 'LOT', '.']",15,57
The use of the algorithm format as a way to represent patient management was chosen based on what?,What,27,the understanding that such a format may promote more efficient diagnostic and therapeutic decision making and has the potential to change patterns of resource use,Algorithm,1,1.0,"['The', 'use', 'of', 'the', 'algorithm', 'format', 'as', 'a', 'way', 'to', 'represent', 'patient', 'management', 'was', 'chosen', 'based', 'on', 'what', '?']","['the', 'understanding', 'that', 'such', 'a', 'format', 'may', 'promote', 'more', 'efficient', 'diagnostic', 'and', 'therapeutic', 'decision', 'making', 'and', 'has', 'the', 'potential', 'to', 'change', 'patterns', 'of', 'resource', 'use']",19,25
The CPG follows an algorithm that is designed to do what?,What,31,facilitate understanding of the clinical pathway and decision making process used in management of LOT,Algorithm,1,1.0,"['The', 'CPG', 'follows', 'an', 'algorithm', 'that', 'is', 'designed', 'to', 'do', 'what', '?']","['facilitate', 'understanding', 'of', 'the', 'clinical', 'pathway', 'and', 'decision', 'making', 'process', 'used', 'in', 'management', 'of', 'LOT']",12,15
Some patients with SUD may disagree with what?,What,33,the recommendation to use non-opioid modalities in lieu of  LOT to treat their pain,Recommendations,1,1.0,"['Some', 'patients', 'with', 'SUD', 'may', 'disagree', 'with', 'what', '?']","['the', 'recommendation', 'to', 'use', 'non', '-', 'opioid', 'modalities', 'in', 'lieu', 'of', ' ', 'LOT', 'to', 'treat', 'their', 'pain']",9,17
At what dosage there is a significant risk?,What,34,a daily dosage range of 20 to <50 mg MEDD,Recommendations,1,1.0,"['At', 'what', 'dosage', 'there', 'is', 'a', 'significant', 'risk', '?']","['a', 'daily', 'dosage', 'range', 'of', '20', 'to', '<', '50', 'mg', 'MEDD']",9,11
At what dosage does the risk increase even further?,What,36,a range of 50 to <100 mg MEDD compared to risk at <20 mg MEDD,Recommendations,0,0.6666666666666666,"['At', 'what', 'dosage', 'does', 'the', 'risk', 'increase', 'even', 'further', '?']","['a', 'range', 'of', '50', 'to', '<', '100', 'mg', 'MEDD', 'compared', 'to', 'risk', 'at', '<', '20', 'mg', 'MEDD']",10,17
All patients who take opioids chronically are at risk for what?,What,60,OUD and overdose,Recommendations,1,1.0,"['All', 'patients', 'who', 'take', 'opioids', 'chronically', 'are', 'at', 'risk', 'for', 'what', '?']","['OUD', 'and', 'overdose']",12,3
"In addition to non-pharmacological therapies, what should be tried and optimized before consideration of opioid medications?",What,69,appropriate mechanism and condition specific non-opioid pharmacologic agents,Recommendations,1,1.0,"['In', 'addition', 'to', 'non', '-', 'pharmacological', 'therapies', ',', 'what', 'should', 'be', 'tried', 'and', 'optimized', 'before', 'consideration', 'of', 'opioid', 'medications', '?']","['appropriate', 'mechanism', 'and', 'condition', 'specific', 'non', '-', 'opioid', 'pharmacologic', 'agents']",20,10
The presence of a lifetime history of SUD for patients with CNCP was associated with what?,What,83,28 times increased  odds of therapeutic opioid addiction compared to patients with CNCP without a lifetime history of SUD,Recommendations,0,0.6153846153846153,"['The', 'presence', 'of', 'a', 'lifetime', 'history', 'of', 'SUD', 'for', 'patients', 'with', 'CNCP', 'was', 'associated', 'with', 'what', '?']","['28', 'times', 'increased', ' ', 'odds', 'of', 'therapeutic', 'opioid', 'addiction', 'compared', 'to', 'patients', 'with', 'CNCP', 'without', 'a', 'lifetime', 'history', 'of', 'SUD']",17,20
This CPG is based on what?,What,0,evidence available by December 2016,Specifications,1,1.0,"['This', 'CPG', 'is', 'based', 'on', 'what', '?']","['evidence', 'available', 'by', 'December', '2016']",7,5
To what the prevalence of OUD in patients with CNCP is related?,What,39,duration of opioid use as well as dose,Recommendations,1,1.0,"['To', 'what', 'the', 'prevalence', 'of', 'OUD', 'in', 'patients', 'with', 'CNCP', 'is', 'related', '?']","['duration', 'of', 'opioid', 'use', 'as', 'well', 'as', 'dose']",13,8
The combination of zolpidem and opioids increases what?,What,52,the AOR of  overdose,Recommendations,1,1.0,"['The', 'combination', 'of', 'zolpidem', 'and', 'opioids', 'increases', 'what', '?']","['the', 'AOR', 'of', ' ', 'overdose']",9,5
"In addition to benzodiazepines, what to do with caution?",What,53,the addition of other psychoactive medications to LOT,Recommendations,1,1.0,"['In', 'addition', 'to', 'benzodiazepines', ',', 'what', 'to', 'do', 'with', 'caution', '?']","['the', 'addition', 'of', 'other', 'psychoactive', 'medications', 'to', 'LOT']",11,8
On what kind of evidence should the providers who suspect diversion base treatment plans?,What,62,objective,Background,1,1.0,"['On', 'what', 'kind', 'of', 'evidence', 'should', 'the', 'providers', 'who', 'suspect', 'diversion', 'base', 'treatment', 'plans', '?']",['objective'],15,1
"Given the recognized risks of opioid therapy, what should include a robust,  signature informed consent process?",What,84,an optimal approach to care,Recommendations,1,1.0,"['Given', 'the', 'recognized', 'risks', 'of', 'opioid', 'therapy', ',', 'what', 'should', 'include', 'a', 'robust', ',', ' ', 'signature', 'informed', 'consent', 'process', '?']","['an', 'optimal', 'approach', 'to', 'care']",20,5
"Given the recognized risks of opioid therapy, what should be included in an optimal approach to care?",What,85,"a robust,  signature informed consent process that is patient-centered and provides patients with information about  known benefits and harms of OT and treatment alternatives",Recommendations,1,1.0,"['Given', 'the', 'recognized', 'risks', 'of', 'opioid', 'therapy', ',', 'what', 'should', 'be', 'included', 'in', 'an', 'optimal', 'approach', 'to', 'care', '?']","['a', 'robust', ',', ' ', 'signature', 'informed', 'consent', 'process', 'that', 'is', 'patient', '-', 'centered', 'and', 'provides', 'patients', 'with', 'information', 'about', ' ', 'known', 'benefits', 'and', 'harms', 'of', 'OT', 'and', 'treatment', 'alternatives']",19,29
Continuing to prescribe the opioid without providing OUD treatment may increase the risk of what?,What,106,overdose and other adverse events,Specifications,1,1.0,"['Continuing', 'to', 'prescribe', 'the', 'opioid', 'without', 'providing', 'OUD', 'treatment', 'may', 'increase', 'the', 'risk', 'of', 'what', '?']","['overdose', 'and', 'other', 'adverse', 'events']",16,5
Tapering the opioid analgesic without providing OUD treatment may increase the risk of what?,What,110,overdose and other adverse events,Specifications,1,1.0,"['Tapering', 'the', 'opioid', 'analgesic', 'without', 'providing', 'OUD', 'treatment', 'may', 'increase', 'the', 'risk', 'of', 'what', '?']","['overdose', 'and', 'other', 'adverse', 'events']",15,5
Patients receiving opioid analgesics who do not meet DSM-5 criteria for OUD may benefit from what?,What,121,an  alternative management strategy: close follow-up and CBT,Recommendations,1,1.0,"['Patients', 'receiving', 'opioid', 'analgesics', 'who', 'do', 'not', 'meet', 'DSM-5', 'criteria', 'for', 'OUD', 'may', 'benefit', 'from', 'what', '?']","['an', ' ', 'alternative', 'management', 'strategy', ':', 'close', 'follow', '-', 'up', 'and', 'CBT']",17,12
"Being developed by a panel of multidisciplinary experts, what does the guideline do?",What,123,provides a clear explanation of the logical relationships between various care options and health outcomes while rating both the quality of the evidence and the strength of the recommendation,Introduction,0,0.9787234042553191,"['Being', 'developed', 'by', 'a', 'panel', 'of', 'multidisciplinary', 'experts', ',', 'what', 'does', 'the', 'guideline', 'do', '?']","['provides', 'a', 'clear', 'explanation', 'of', 'the', 'logical', 'relationships', 'between', 'various', 'care', 'options', 'and', 'health', 'outcomes', 'while', 'rating', 'both', 'the', 'quality', 'of', 'the', 'evidence', 'and', 'the', 'strength', 'of', 'the', 'recommendation']",15,29
LOT is an ineffective treatment modality for patients with what kind of headaches?,What,12,"migraine headaches (with or without aura), tension-type headaches,  occipital neuralgia, or myofascial pain",Background,1,1.0,"['LOT', 'is', 'an', 'ineffective', 'treatment', 'modality', 'for', 'patients', 'with', 'what', 'kind', 'of', 'headaches', '?']","['migraine', 'headaches', '(', 'with', 'or', 'without', 'aura', ')', ',', 'tension', '-', 'type', 'headaches', ',', ' ', 'occipital', 'neuralgia', ',', 'or', 'myofascial', 'pain']",14,21
